# trial_number trial_accuracy best_so_far_accuracy
0 0.706080 0.706080
1 0.800720 0.800720
2 0.747640 0.800720
3 0.853280 0.853280
4 0.813880 0.853280
5 0.712160 0.853280
6 0.767880 0.853280
7 0.833560 0.853280
8 0.783080 0.853280
9 0.759920 0.853280
10 0.619200 0.853280
11 0.619800 0.853280
12 0.644520 0.853280
13 0.830640 0.853280
14 0.842440 0.853280
15 0.773760 0.853280
16 0.783960 0.853280
17 0.751680 0.853280
18 0.584000 0.853280
19 0.541520 0.853280
20 0.807600 0.853280
21 0.845760 0.853280
22 0.844920 0.853280
23 0.845760 0.853280
24 0.609080 0.853280
25 0.842040 0.853280
26 0.791240 0.853280
27 0.602000 0.853280
28 0.657760 0.853280
29 0.789160 0.853280
30 0.769880 0.853280
31 0.843960 0.853280
32 0.694920 0.853280
33 0.755920 0.853280
34 0.526560 0.853280
35 0.834120 0.853280
36 0.840840 0.853280
37 0.791760 0.853280
38 0.705880 0.853280
39 0.780960 0.853280
40 0.684120 0.853280
41 0.843960 0.853280
42 0.821440 0.853280
43 0.720480 0.853280
44 0.840960 0.853280
45 0.826680 0.853280
46 0.838800 0.853280
47 0.853320 0.853320
48 0.753200 0.853320
49 0.619200 0.853320
