# trial_number trial_accuracy best_so_far_accuracy
0 0.862440 0.862440
1 0.863920 0.863920
2 0.858280 0.863920
3 0.855840 0.863920
4 0.874160 0.874160
5 0.872400 0.874160
6 0.866680 0.874160
7 0.862200 0.874160
8 0.856440 0.874160
9 0.833360 0.874160
10 0.874080 0.874160
11 0.872560 0.874160
12 0.872560 0.874160
13 0.872120 0.874160
14 0.867480 0.874160
15 0.872840 0.874160
16 0.868960 0.874160
17 0.869840 0.874160
18 0.874720 0.874720
19 0.870120 0.874720
20 0.872400 0.874720
21 0.871800 0.874720
22 0.839240 0.874720
23 0.871640 0.874720
24 0.836640 0.874720
25 0.869040 0.874720
26 0.873240 0.874720
27 0.845520 0.874720
28 0.867560 0.874720
29 0.861800 0.874720
30 0.873400 0.874720
31 0.870760 0.874720
32 0.837760 0.874720
33 0.875280 0.875280
34 0.875400 0.875400
35 0.860720 0.875400
36 0.875360 0.875400
37 0.875000 0.875400
38 0.876520 0.876520
39 0.870840 0.876520
40 0.868240 0.876520
41 0.872640 0.876520
42 0.874480 0.876520
43 0.872800 0.876520
44 0.868640 0.876520
45 0.874880 0.876520
46 0.860640 0.876520
47 0.875680 0.876520
48 0.874320 0.876520
49 0.868160 0.876520
