# trial_number trial_accuracy best_so_far_accuracy
0 0.857520 0.857520
1 0.860040 0.860040
2 0.860240 0.860240
3 0.857440 0.860240
4 0.856280 0.860240
5 0.856680 0.860240
6 0.856280 0.860240
7 0.857920 0.860240
8 0.863560 0.863560
9 0.866200 0.866200
10 0.842920 0.866200
11 0.860240 0.866200
12 0.860040 0.866200
13 0.847960 0.866200
14 0.860240 0.866200
15 0.867000 0.867000
16 0.836520 0.867000
17 0.867760 0.867760
18 0.856280 0.867760
19 0.861560 0.867760
20 0.860040 0.867760
21 0.865120 0.867760
22 0.857800 0.867760
23 0.857800 0.867760
24 0.857440 0.867760
25 0.866200 0.867760
26 0.858160 0.867760
27 0.846600 0.867760
28 0.856280 0.867760
29 0.842920 0.867760
30 0.867760 0.867760
31 0.865520 0.867760
32 0.871200 0.871200
33 0.857800 0.871200
34 0.857440 0.871200
35 0.865440 0.871200
36 0.862120 0.871200
37 0.860040 0.871200
38 0.842920 0.871200
39 0.871200 0.871200
40 0.857440 0.871200
41 0.867760 0.871200
42 0.867000 0.871200
43 0.866800 0.871200
44 0.863560 0.871200
45 0.856680 0.871200
46 0.856280 0.871200
47 0.865520 0.871200
48 0.871200 0.871200
49 0.867560 0.871200
50 0.867000 0.871200
51 0.857920 0.871200
52 0.862120 0.871200
53 0.865120 0.871200
54 0.863560 0.871200
55 0.843840 0.871200
56 0.862120 0.871200
57 0.866800 0.871200
58 0.846600 0.871200
59 0.865440 0.871200
60 0.856680 0.871200
61 0.865440 0.871200
62 0.865520 0.871200
63 0.842920 0.871200
64 0.846600 0.871200
65 0.857440 0.871200
66 0.843840 0.871200
67 0.866200 0.871200
68 0.860240 0.871200
69 0.867560 0.871200
70 0.861560 0.871200
71 0.856280 0.871200
72 0.836520 0.871200
73 0.866800 0.871200
74 0.865440 0.871200
75 0.843840 0.871200
76 0.867560 0.871200
77 0.865120 0.871200
78 0.860040 0.871200
79 0.856680 0.871200
80 0.866200 0.871200
81 0.861560 0.871200
82 0.836520 0.871200
83 0.857920 0.871200
84 0.856280 0.871200
85 0.867000 0.871200
86 0.857920 0.871200
87 0.857440 0.871200
88 0.843840 0.871200
89 0.856280 0.871200
90 0.846600 0.871200
91 0.867560 0.871200
92 0.836520 0.871200
93 0.860040 0.871200
94 0.865440 0.871200
95 0.861560 0.871200
96 0.865120 0.871200
97 0.863560 0.871200
98 0.860040 0.871200
99 0.860240 0.871200
100 0.846600 0.871200
101 0.847960 0.871200
102 0.857800 0.871200
103 0.862120 0.871200
104 0.865520 0.871200
105 0.857440 0.871200
106 0.847960 0.871200
107 0.857920 0.871200
108 0.842920 0.871200
109 0.857920 0.871200
110 0.865440 0.871200
111 0.861560 0.871200
112 0.866800 0.871200
113 0.867000 0.871200
114 0.847960 0.871200
115 0.865520 0.871200
116 0.861560 0.871200
117 0.846600 0.871200
118 0.866200 0.871200
119 0.860240 0.871200
120 0.866800 0.871200
121 0.865440 0.871200
122 0.860240 0.871200
123 0.863560 0.871200
124 0.867000 0.871200
125 0.866200 0.871200
126 0.862120 0.871200
127 0.858160 0.871200
128 0.861560 0.871200
129 0.871200 0.871200
130 0.865120 0.871200
131 0.861560 0.871200
132 0.865520 0.871200
133 0.865520 0.871200
134 0.856680 0.871200
135 0.858160 0.871200
136 0.843840 0.871200
137 0.846600 0.871200
138 0.867560 0.871200
139 0.836520 0.871200
140 0.860240 0.871200
141 0.865120 0.871200
142 0.857440 0.871200
143 0.871200 0.871200
144 0.861560 0.871200
145 0.857800 0.871200
146 0.866800 0.871200
147 0.866800 0.871200
148 0.867000 0.871200
149 0.842920 0.871200
