# trial_number trial_accuracy best_so_far_accuracy
0 0.861120 0.861120
1 0.866200 0.866200
2 0.846600 0.866200
3 0.867000 0.867000
4 0.865520 0.867000
5 0.861560 0.867000
6 0.865520 0.867000
7 0.867760 0.867760
8 0.847960 0.867760
9 0.860040 0.867760
10 0.871200 0.871200
11 0.846600 0.871200
12 0.866200 0.871200
13 0.863560 0.871200
14 0.846600 0.871200
15 0.857440 0.871200
16 0.866800 0.871200
17 0.857920 0.871200
18 0.865520 0.871200
19 0.856680 0.871200
20 0.866200 0.871200
21 0.858160 0.871200
22 0.862120 0.871200
23 0.862120 0.871200
24 0.867000 0.871200
25 0.860040 0.871200
26 0.865120 0.871200
27 0.860240 0.871200
28 0.865520 0.871200
29 0.871200 0.871200
30 0.857920 0.871200
31 0.856280 0.871200
32 0.842920 0.871200
33 0.862120 0.871200
34 0.867000 0.871200
35 0.865440 0.871200
36 0.857800 0.871200
37 0.866200 0.871200
38 0.871200 0.871200
39 0.842920 0.871200
40 0.867000 0.871200
41 0.857920 0.871200
42 0.857440 0.871200
43 0.836520 0.871200
44 0.847960 0.871200
45 0.861560 0.871200
46 0.865520 0.871200
47 0.856280 0.871200
48 0.842920 0.871200
49 0.843840 0.871200
50 0.857440 0.871200
51 0.867760 0.871200
52 0.857800 0.871200
53 0.858160 0.871200
54 0.847960 0.871200
55 0.867560 0.871200
56 0.857800 0.871200
57 0.836520 0.871200
58 0.860240 0.871200
59 0.865440 0.871200
60 0.861560 0.871200
61 0.865440 0.871200
62 0.856280 0.871200
63 0.871200 0.871200
64 0.860240 0.871200
65 0.867000 0.871200
66 0.867560 0.871200
67 0.860040 0.871200
68 0.846600 0.871200
69 0.843840 0.871200
70 0.856680 0.871200
71 0.865520 0.871200
72 0.866800 0.871200
73 0.836520 0.871200
74 0.865440 0.871200
75 0.867560 0.871200
76 0.843840 0.871200
77 0.858160 0.871200
78 0.866200 0.871200
79 0.861560 0.871200
80 0.860040 0.871200
81 0.856680 0.871200
82 0.866800 0.871200
83 0.867760 0.871200
84 0.865520 0.871200
85 0.857440 0.871200
86 0.867760 0.871200
87 0.867000 0.871200
88 0.867560 0.871200
89 0.865520 0.871200
90 0.860240 0.871200
91 0.843840 0.871200
92 0.866800 0.871200
93 0.866200 0.871200
94 0.865440 0.871200
95 0.856680 0.871200
96 0.858160 0.871200
97 0.847960 0.871200
98 0.866200 0.871200
99 0.846600 0.871200
