# trial_number trial_accuracy best_so_far_accuracy
0 0.854080 0.854080
1 0.862400 0.862400
2 0.831520 0.862400
3 0.850960 0.862400
4 0.855520 0.862400
5 0.864400 0.864400
6 0.857080 0.864400
7 0.832400 0.864400
8 0.860640 0.864400
9 0.855320 0.864400
10 0.854280 0.864400
11 0.834000 0.864400
12 0.834440 0.864400
13 0.841440 0.864400
14 0.843360 0.864400
15 0.846960 0.864400
16 0.821800 0.864400
17 0.852040 0.864400
18 0.851040 0.864400
19 0.859600 0.864400
20 0.846440 0.864400
21 0.857880 0.864400
22 0.833440 0.864400
23 0.856040 0.864400
24 0.864320 0.864400
25 0.846280 0.864400
26 0.855040 0.864400
27 0.860880 0.864400
28 0.862080 0.864400
29 0.859760 0.864400
30 0.864200 0.864400
31 0.831640 0.864400
32 0.858280 0.864400
33 0.853000 0.864400
34 0.840680 0.864400
35 0.832560 0.864400
36 0.858640 0.864400
37 0.849720 0.864400
38 0.853040 0.864400
39 0.850920 0.864400
40 0.856640 0.864400
41 0.853600 0.864400
42 0.844720 0.864400
43 0.857360 0.864400
44 0.846840 0.864400
45 0.862480 0.864400
46 0.852800 0.864400
47 0.852520 0.864400
48 0.853720 0.864400
49 0.841000 0.864400
50 0.818480 0.864400
51 0.833360 0.864400
52 0.819880 0.864400
53 0.863440 0.864400
54 0.851200 0.864400
55 0.848480 0.864400
56 0.859880 0.864400
57 0.833320 0.864400
58 0.838600 0.864400
59 0.858120 0.864400
60 0.857560 0.864400
61 0.803560 0.864400
62 0.830160 0.864400
63 0.840760 0.864400
64 0.864160 0.864400
65 0.813600 0.864400
66 0.861560 0.864400
67 0.858640 0.864400
68 0.848080 0.864400
69 0.850640 0.864400
70 0.862840 0.864400
71 0.868520 0.868520
72 0.793920 0.868520
73 0.854120 0.868520
74 0.854360 0.868520
75 0.850800 0.868520
76 0.863920 0.868520
77 0.836800 0.868520
78 0.855080 0.868520
79 0.841320 0.868520
80 0.856520 0.868520
81 0.825560 0.868520
82 0.850000 0.868520
83 0.839680 0.868520
84 0.828000 0.868520
85 0.830920 0.868520
86 0.840640 0.868520
87 0.849000 0.868520
88 0.839000 0.868520
89 0.834000 0.868520
90 0.852080 0.868520
91 0.841840 0.868520
92 0.857240 0.868520
93 0.859440 0.868520
94 0.860720 0.868520
95 0.835960 0.868520
96 0.848120 0.868520
97 0.840400 0.868520
98 0.859320 0.868520
99 0.866080 0.868520
100 0.864640 0.868520
101 0.850400 0.868520
102 0.855280 0.868520
103 0.859960 0.868520
104 0.856920 0.868520
105 0.852960 0.868520
106 0.858000 0.868520
107 0.856080 0.868520
108 0.858960 0.868520
109 0.799040 0.868520
110 0.853920 0.868520
111 0.850000 0.868520
112 0.849200 0.868520
113 0.839840 0.868520
114 0.856920 0.868520
115 0.851000 0.868520
116 0.863840 0.868520
117 0.834360 0.868520
118 0.853400 0.868520
119 0.857200 0.868520
120 0.836160 0.868520
121 0.854640 0.868520
122 0.840040 0.868520
123 0.829040 0.868520
124 0.838560 0.868520
125 0.828480 0.868520
126 0.839720 0.868520
127 0.843480 0.868520
128 0.840000 0.868520
129 0.866120 0.868520
130 0.866040 0.868520
131 0.823960 0.868520
132 0.825440 0.868520
133 0.761760 0.868520
134 0.823480 0.868520
135 0.840360 0.868520
136 0.859760 0.868520
137 0.868000 0.868520
138 0.852800 0.868520
139 0.837240 0.868520
140 0.857160 0.868520
141 0.842760 0.868520
142 0.867640 0.868520
143 0.849840 0.868520
144 0.860280 0.868520
145 0.836000 0.868520
146 0.854520 0.868520
147 0.854520 0.868520
148 0.856960 0.868520
149 0.857360 0.868520
