# trial_number trial_accuracy best_so_far_accuracy
0 0.857160 0.857160
1 0.862880 0.862880
2 0.851000 0.862880
3 0.843120 0.862880
4 0.854200 0.862880
5 0.852640 0.862880
6 0.861000 0.862880
7 0.853280 0.862880
8 0.847120 0.862880
9 0.828320 0.862880
10 0.864080 0.864080
11 0.864080 0.864080
12 0.866320 0.866320
13 0.866320 0.866320
14 0.866320 0.866320
15 0.865200 0.866320
16 0.866320 0.866320
17 0.846800 0.866320
18 0.854960 0.866320
19 0.866320 0.866320
20 0.861400 0.866320
21 0.866320 0.866320
22 0.866320 0.866320
23 0.865200 0.866320
24 0.865400 0.866320
25 0.865200 0.866320
26 0.837160 0.866320
27 0.860880 0.866320
28 0.865200 0.866320
29 0.839680 0.866320
30 0.862400 0.866320
31 0.866320 0.866320
32 0.866320 0.866320
33 0.862880 0.866320
34 0.866320 0.866320
35 0.853520 0.866320
36 0.860840 0.866320
37 0.862360 0.866320
38 0.857040 0.866320
39 0.863120 0.866320
40 0.854320 0.866320
41 0.866320 0.866320
42 0.866320 0.866320
43 0.866120 0.866320
44 0.866320 0.866320
45 0.865200 0.866320
46 0.836920 0.866320
47 0.829240 0.866320
48 0.866320 0.866320
49 0.856440 0.866320
50 0.861040 0.866320
51 0.866320 0.866320
52 0.866320 0.866320
53 0.866320 0.866320
54 0.866320 0.866320
55 0.865400 0.866320
56 0.861160 0.866320
57 0.846160 0.866320
58 0.865280 0.866320
59 0.864080 0.866320
60 0.862480 0.866320
61 0.866320 0.866320
62 0.866320 0.866320
63 0.866320 0.866320
64 0.866320 0.866320
65 0.866320 0.866320
66 0.848760 0.866320
67 0.846000 0.866320
68 0.860960 0.866320
69 0.848680 0.866320
70 0.866320 0.866320
71 0.866320 0.866320
72 0.866320 0.866320
73 0.866320 0.866320
74 0.866320 0.866320
75 0.859680 0.866320
76 0.860040 0.866320
77 0.837560 0.866320
78 0.865280 0.866320
79 0.853520 0.866320
80 0.859680 0.866320
81 0.866320 0.866320
82 0.866320 0.866320
83 0.866320 0.866320
84 0.866320 0.866320
85 0.866320 0.866320
86 0.862360 0.866320
87 0.867760 0.867760
88 0.867760 0.867760
89 0.867040 0.867760
90 0.867040 0.867760
91 0.867040 0.867760
92 0.867040 0.867760
93 0.867040 0.867760
94 0.867040 0.867760
95 0.867040 0.867760
96 0.867040 0.867760
97 0.867040 0.867760
98 0.867040 0.867760
99 0.867040 0.867760
